timestamp,outside_temp_c,outside_feels_like_c,outside_humidity_pct,outside_wind_speed_kmh,outside_condition,outside_sunshine_index,outside_cloud_cover_pct,outside_dewpoint_c,outside_pressure_hpa,outside_uv_index,outside_shortwave_radiation_wm2,andrea_temp_c,andrea_humidity_pct,andrea_realfeel_c,camera_vecchi_temp_c,camera_vecchi_humidity_pct,camera_vecchi_realfeel_c,cucina_temp_c,cucina_humidity_pct,cucina_realfeel_c,sala_temp_c,sala_humidity_pct,sala_realfeel_c
2026-03-23T12:14:41+01:00,13.7,12.4,52,7.1,Clear sky,1.0,3,4.0,1008.7,4.7,733.0,17.7,47.7,16.7,16.5,47.5,15.4,17.1,45.7,16.1,18.0,46.4,16.9
2026-03-23T12:58:58+01:00,14.6,13.4,47,5.1,"Clear sky",1.0,3,3.4,1008.6,4.9,737.0,18.0,47.8,17.2,16.8,46.0,15.5,17.5,46.2,16.4,18.3,46.5,17.4
2026-03-23T13:59:19+01:00,15.1,12.6,42,5.4,Mainly clear,1.0,40,2.3,1008.3,4.7,483.0,18.4,48.1,17.8,17.0,46.8,16.0,17.7,46.7,16.8,18.4,47.5,17.7
2026-03-23T14:58:52+01:00,15.8,13.2,40,5.4,Partly Cloudy,1.0,8,2.2,1007.7,4.0,520.0,18.5,47.2,18.0,17.1,45.8,16.0,17.9,45.2,16.9,18.5,44.8,17.8
2026-03-23T15:59:28+01:00,15.5,12.7,39,6.8,Mainly clear,1.0,4,1.6,1007.6,2.95,367.0,18.8,48.4,18.3,17.1,45.0,16.0,17.9,43.7,16.7,18.5,44.0,18.0
2026-03-23T16:59:12+01:00,15.4,12.7,40,5.8,Mainly Clear,1.0,0,1.8,1007.5,1.75,276.0,18.78,48.5,18.3,17.4,46.5,16.3,17.9,43.7,16.7,18.5,44.1,17.8
2026-03-23T17:12:20+01:00,15.4,12.8,40,5.2,Clear sky,1.0,0,1.8,1007.5,1.55,244.0,18.7,49.2,18.2,17.4,46.5,16.4,17.8,44.2,16.8,18.5,44.0,17.6
2026-03-24T05:20:24+01:00,3.4,0.9,87,4.1,Clear sky,0.0,0,1.5,1012.2,0.0,0.0,,,,,,,,,,,,
2026-03-24T07:26:00+01:00,3.8,1.3,85,4.1,Clear sky,0.2,0,1.5,1013.2,0.25,90.0,20.9,52.8,21.2,19.9,49.5,19.7,20.0,45.6,18.6,19.3,50.0,18.7
2026-03-24T08:25:10+01:00,6.6,4.6,77,2.9,Clear sky,1.0,0,2.9,1013.5,1.0,265.0,19.4,46.1,18.8,19.0,51.1,18.6,18.9,44.2,17.8,19.0,51.8,18.3
2026-03-24T08:28:12+01:00,6.6,4.6,77,2.9,Clear sky,1.0,0,2.9,1013.5,1.0,265.0,19.3,46.8,18.8,19.0,51.1,18.6,18.9,44.2,17.8,19.0,51.8,18.3
2026-03-24T09:15+01:00,10.1,7.9,62,4.5,Clear sky,1.0,0,3.2,1014.1,2.15,442.0,,,,,,,,,,,,
2026-03-24T10:27:42+01:00,12.5,10.1,54,7.9,Clear sky,1.0,0,3.5,1014.2,3.35,590.0,18.5,46.9,18.0,17.4,47.9,16.5,18.2,44.6,17.3,18.8,48.3,18.0
2026-03-24T11:27:56+01:00,14.1,12.6,51,7.1,Clear sky,1.0,5,4.1,1013.8,4.4,694.0,18.7,45.3,17.9,17.2,44.9,16.1,18.3,45.9,17.8,18.9,48.2,18.3
2026-03-24T12:28:07+01:00,16.0,15.8,45,1.1,Clear sky,1.0,0,4.1,1013.3,5.0,743.0,19.0,46.6,18.4,17.4,47.1,16.4,18.6,46.2,17.8,19.1,47.3,18.8
2026-03-24T13:27:18+01:00,17.1,16.0,38,3.5,Clear sky,1.0,5,2.6,1012.7,5.1,731.0,19.4,47.3,18.9,17.8,48.5,17.1,18.8,46.6,17.8,19.2,46.8,19.2
2026-03-24T14:27:13+01:00,17.6,16.2,39,3.5,Clear sky,1.0,0,3.5,1011.9,4.6,664.0,19.5,47.3,18.9,17.6,48.3,16.8,18.7,45.3,17.7,19.2,46.8,19.1
2026-03-24T15:28:06+01:00,17.8,15.6,38,4.1,Mainly clear,1.0,26,3.3,1011.5,3.7,515.0,19.5,46.5,18.8,17.7,46.7,16.7,18.7,43.7,17.5,19.1,46.7,18.8
2026-03-24T16:27:42+01:00,17.5,15.2,39,5.4,Mainly clear,1.0,33,3.4,1011.1,2.6,358.0,19.4,46.4,18.8,17.7,47.1,16.8,18.7,44.2,17.6,19.1,46.9,18.8
